osm_type,osm_id,name,amenity,healthcare,facility_role,latitude,longitude
node,8002648770,Cheerankunnu Sub center,hospital,hospital,hospital,11.6544507,76.1598316
node,8010607807,Cno.04 Nallannoor Anganwadi. Muppinad,school,,school,11.5550103,76.1720224
node,8012168567,Kenichira Sub Centre,hospital,hospital,hospital,11.7240632,76.1503024
node,8013356130,Sreedhar Memorial Hospital,hospital,hospital,hospital,11.5507106,76.2126408
node,8013418462,Sreedhar Memorial Medical Center,hospital,hospital,hospital,11.5504743,76.2126748
node,8018297411,SC Valavayal,hospital,hospital,hospital,11.7109561,76.1922766
node,8018297440,SC Thazhamunda,hospital,hospital,hospital,11.706229,76.1395959
node,8018349822,SC Chempakapetta,hospital,hospital,hospital,11.7166678,76.121234
node,8024080356,sc kalloorkunnu,hospital,hospital,hospital,11.7051065,76.2074948
node,8024669741,SC Valanchery,hospital,hospital,hospital,11.7318176,76.1793239
node,8024678991,SC Vakery,hospital,hospital,hospital,11.6959112,76.2211972
node,8027321857,SC Pazhupathoor,hospital,hospital,hospital,11.6775156,76.2277039
node,8659041915,"Homeo Dispensary, Madakkimala",hospital,hospital,hospital,11.6650298,76.0840482
node,8665665729,"Mother Medicare, Muttil",hospital,hospital,hospital,11.6414188,76.1104419
node,8667236481,"W.M.O Speech And Hearing School, Muttil",school,,school,11.6334041,76.1200997
node,8731336984,Government Lower Primary School Cheegavalam,school,,school,11.589178,76.2093147
node,8813483444,"Government Homeo Clinic, Kenichira",clinic,clinic,clinic,11.723905,76.1530723
node,8813590627,DR.PRASAD’S Diabetes Care and Research Center,,centre,healthcare_centre,11.7182302,76.1551241
node,8907708534,Shri Shankara Vidhya Mandhiram,school,,school,11.6389594,76.0884974
node,8998387389,Family Health Centre Vazhavatta,hospital,hospital,hospital,11.6004629,76.143777
node,9000365107,WIMS Urban Health Center Kalpetta,hospital,hospital,hospital,11.6099469,76.0824983
node,9019144828,GLPS Appad,school,,school,11.696444,76.1729759
node,9065188605,GHSS Meenangadi,school,,school,11.6642287,76.1672659
node,9065204541,GLPS CC Bhoothanam,school,,school,11.6816489,76.2029816
node,9104912146,D CARE DENTAL CLINIC,clinic,clinic,clinic,11.7397935,76.0729729
node,9927293029,St . School,school,,school,11.7383842,76.1181995
node,9927312337,Gvt lp school nelliyambam,school,,school,11.7387314,76.098739
node,10113293168,District Early Intervention Centre,hospital,hospital,hospital,11.6342526,76.0895455
node,10113293169,Medical Superintendent Office,hospital,hospital,hospital,11.6342351,76.0897041
node,10113779000,Government General Hospital,hospital,hospital,hospital,11.6035906,76.084177
node,11158894618,,drinking_water,,water_point,11.6191259,76.168648
node,11350115530,Anganavadi,school,,school,11.6222277,76.1233008
way,303894073,"Chundale petrol pump, Chundale",fuel,,fuel,,
way,380933351,DM Wayanad Institute of Medical Sciences,hospital,hospital,hospital,,
way,386991359,Fatima Mata Mission Hospital,hospital,hospital,hospital,,
way,425702971,Suthan Bathery Court Complex,courthouse,,courthouse,,
way,425703248,Rchss Ground,school,,school,,
way,425703614,"St.Judes Parish Hall, Chundale",events_venue,,events_venue,,
way,425703749,Sree Mariyamman Kshetram,place_of_worship,,place_of_worship,,
way,425747685,Town Market,marketplace,,marketplace,,
way,425747947,Mosque,place_of_worship,,place_of_worship,,
way,425748367,Juma Masjid Kambalakkad,place_of_worship,,place_of_worship,,
way,425748993,Government Upper Primary School Kambalakkad,school,,school,,
way,425749883,"GHS, Anappara",school,,school,,
way,425750583,GHSS Anapara school,school,,school,,
way,545675199,Juma masjid,place_of_worship,,place_of_worship,,
way,545700966,Sree Malsyavathara Vishnu Temple,place_of_worship,,place_of_worship,,
way,545842495,St Thomas Higher Secondary School Nadavayal,school,,school,,
way,545842500,St Thomas Lower Primary School Nadavayal,school,,school,,
way,545842501,Holycross Forane Church,place_of_worship,,place_of_worship,,
way,545842502,Parish House,place_of_worship,,place_of_worship,,
way,546104367,Lalith Mahal Auditorium,community_centre,,community_facility,,
way,717089262,St. Mary’s Orthodox Church,place_of_worship,,place_of_worship,,
way,736680808,Saint Thomas Church Arinchermala,place_of_worship,,place_of_worship,,
way,736681152,Saint Thomas Convent,,counselling,counselling,,
way,737777884,Nivedhitha Vidhya Nikethan Upper Primary school,school,,school,,
way,737777885,Government Higher Secondary School Kaniyambetta,school,,school,,
way,737781343,Pongini paradevatha bhadhrakali temple,place_of_worship,,place_of_worship,,
way,737789315,Government Polytechnic College Meenangadi,school,,school,,
way,748325339,Service Cooperative Bank,bank,,bank,,
way,762770930,"Gvhss Ambalavayal High School, Kerala",school,,school,,
way,763028769,,place_of_worship,,place_of_worship,,
way,763029796,Communinty Health Centre Meppadi,hospital,hospital,hospital,,
way,797523964,Sree Narayana Higher Secondary School Poothadi,school,,school,,
way,797573177,Koleri Temple,place_of_worship,,place_of_worship,,
way,797593748,Government Higher Secondary School Koleri,school,,school,,
way,797813739,Government High School Athiratukunnu,school,,school,,
way,797825353,Uma-Maheswara MahaVishnu Temple,place_of_worship,,place_of_worship,,
way,797857219,Government High School Beenachi,school,,school,,
way,798230807,St. Sebastian's Syro Malabar Church,place_of_worship,,place_of_worship,,
way,798233466,Cheengodu Church,place_of_worship,,place_of_worship,,
way,798236240,St Anns Hospital,,hospital,hospital,,
way,798266962,St.Sebastian's Church,place_of_worship,,place_of_worship,,
